Nome,Genere,Diffusione
CIARDINO,M,4
CIARDO,M,4
CICCILLO,M,3
CICCIO,M,3
CICERONE,M,3
CICITO,M,4
CILIBERTO,M,4
CINCINNATO,M,3
CINO,M,3
CINZIO,M,3
CINZO,M,4
CIPRIANO,M,3
CIRANO,M,3
CIRENEO,M,3
CIRENO,M,4
CIRIACO,M,3
CIRILLO,M,3
CIRINO,M,3
CIRIO,M,4
CIRO,M,2
CISO,M,3
CITO,M,3
CITRO,M,3
CLARENZIO,M,3
CLARIO,M,3
CLARO,M,4
CLAUCO,M,4
CLAUDIANO,M,4
CLAUDINO,M,3
CLAUDIO,M,1
CLEANTO,M,3
CLEARCO,M,3
CLELIO,M,2
CLEMEN,M,3
CLEMENS,M,3
CLEMENTE,M,2
CLEMENTINO,M,3
CLEMENZIO,M,3
CLEOFINO,M,4
CLEONTE,M,3
CLEONTINO,M,3
CLERIO,M,3
CLERO,M,3
CLETO,M,3
CLICERIO,M,4
CLINO,M,4
CLIO,M,4
CLITO,M,4
CLIZIO,M,4
CLODOMIRO,M,3
CLODOVEO,M,3
CLORIDANO,M,4
CLORINDO,M,4
CLOTILDO,M,4
COLLATINO,M,4
COLOMBANO,M,3
COLOMBINO,M,3
COLOMBO,M,3
COLTURO,M,4
COMINCIO,M,4
COMITO,M,4
COMO,M,4
COMODO,M,3
COMUNARDO,M,4
CONCESSO,M,3
CONCETTINO,M,3
CONCETTO,M,3
CONCEZIO,M,3
CONCORDIO,M,3
CONFORTO,M,3
CONFUCIO,M,3
CONINO,M,4
CONITTO,M,4
CONO,M,4
CONONE,M,4
CONSALVO,M,3
CONSIGLIO,M,3
CONSILIO,M,3
CONSOLATO,M,3
CONSOLINO,M,4
CONSOLO,M,4
CONSUELO,M,4
CONTALDO,M,4
CONTARDINO,M,4
CONTARDO,M,3
CONTRANO,M,4
CONUCCIO,M,4
CORAGGIO,M,4
CORALLINO,M,4
CORALLO,M,4
CORDELIO,M,3
COREBO,M,4
CORINDO,M,4
CORINNO,M,3
CORINO,M,4
CORINTIO,M,4
CORINTO,M,4
CORINZIO,M,4
CORIOLANO,M,3
CORNELIO,M,3
CORONATO,M,3
CORRADINO,M,3
CORRADO,M,2
CORSINO,M,4
CORSO,M,3
CORTESE,M,3
CORTINO,M,4
COSIMO,M,2
COSMA,M,3
COSMANO,M,3
COSMINO,M,4
COSMO,M,4
COSTABILE,M,3
COSTANTE,M,3
COSTANTINO,M,2
COSTANZO,M,2
CREONTE,M,3
CRESCENTE,M,3
CRESCENTINO,M,3
CRESCENZIANO,M,4
CRESCENZIO,M,3
CRESCENZO,M,4
CRESO,M,3
CRESPINO,M,4
CRISANTO,M,4
CRISOSTOMO,M,4
CRISPINO,M,3
CRISPOLDO,M,4
